testName,cluster,baseline
01aa_createfixed32-timeactivities(false),roxie,3.344000
01aa_createfixed32-timeactivities(false),thor,2.877000
01aa_createfixed32-timeactivities(true),roxie,3.936500
01aa_createfixed32-timeactivities(true),thor,3.115000
01ab_createunorderedappend,roxie,20.416500
01ab_createunorderedappend,thor,5.083500
01ac_createorderappend,roxie,4.362000
01ac_createorderappend,thor,3.871500
01ad_createmanycount,roxie,65.311500
01ad_createmanycount,thor,23.539500
01ae_createswitchcount,roxie,48.302500
01ae_createswitchcount,thor,21.266000
01af_parallelmanycount,roxie,4.431000
01af_parallelmanycount,thor,3.945500
01ag_unorderedappend2,roxie,21.426500
01ag_unorderedappend2,thor,6.378500
01ah_unorderedappend4,roxie,20.211000
01ah_unorderedappend4,thor,6.256500
01ai_unorderedappend8,roxie,20.771500
01ai_unorderedappend8,thor,5.604000
01aj_unorderedappend12,roxie,20.420000
01aj_unorderedappend12,thor,5.246500
01ak_unorderedappend16,roxie,20.243500
01ak_unorderedappend16,thor,5.132500
01al_unorderedappend32,roxie,20.025000
01al_unorderedappend32,thor,4.874500
01ba_writefixed32,roxie,3.855000
01ba_writefixed32,thor,3.565500
01bb_writefixed32c,roxie,6.759500
01bb_writefixed32c,thor,6.789500
01bc_writepadded32,roxie,4.520500
01bc_writepadded32,thor,36.670000
01bd_writepadded32c,roxie,7.764000
01bd_writepadded32c,thor,14.201000
01be_writefixedcsv,roxie,10.557500
01be_writefixedcsv,thor,34.041000
01bf_writefixedxml,roxie,18.222000
01bf_writefixedxml,thor,60.660500
01bg_writevariable,roxie,4.954500
01bg_writevariable,thor,5.275000
01bh_writelarge,roxie,5.475000
01bh_writelarge,thor,7.745500
01bi_writevlarge,roxie,24.172500
01bi_writevlarge,thor,29.221000
01ca_countsimple-checkcrc(false)-hintheapflags(0x00)-timeactivities(false),roxie,3.775500
01ca_countsimple-checkcrc(false)-hintheapflags(0x00)-timeactivities(false),thor,2.560500
01ca_countsimple-checkcrc(false)-hintheapflags(0x00)-timeactivities(true),roxie,3.896500
01ca_countsimple-checkcrc(false)-hintheapflags(0x00)-timeactivities(true),thor,3.102000
01ca_countsimple-checkcrc(false)-hintheapflags(0x80)-optremoteread(true)-timeactivities(true),roxie,3.844000
01ca_countsimple-checkcrc(false)-hintheapflags(0x80)-optremoteread(true)-timeactivities(true),thor,5.267000
01ca_countsimple-checkcrc(false)-hintheapflags(0x80)-timeactivities(false),roxie,3.830000
01ca_countsimple-checkcrc(false)-hintheapflags(0x80)-timeactivities(false),thor,2.291500
01ca_countsimple-checkcrc(false)-hintheapflags(0x80)-timeactivities(true),roxie,3.842000
01ca_countsimple-checkcrc(false)-hintheapflags(0x80)-timeactivities(true),thor,2.921000
01ca_countsimple-checkcrc(true)-hintheapflags(0x00)-timeactivities(false),roxie,3.816000
01ca_countsimple-checkcrc(true)-hintheapflags(0x00)-timeactivities(false),thor,2.699500
01ca_countsimple-checkcrc(true)-hintheapflags(0x00)-timeactivities(true),roxie,3.856500
01ca_countsimple-checkcrc(true)-hintheapflags(0x00)-timeactivities(true),thor,3.170000
01ca_countsimple-checkcrc(true)-hintheapflags(0x80)-timeactivities(false),roxie,3.805500
01ca_countsimple-checkcrc(true)-hintheapflags(0x80)-timeactivities(false),thor,16.579000
01ca_countsimple-checkcrc(true)-hintheapflags(0x80)-timeactivities(true),roxie,3.854000
01ca_countsimple-checkcrc(true)-hintheapflags(0x80)-timeactivities(true),thor,2.881500
01cb_countsimplec,roxie,14.346000
01cb_countsimplec,thor,13.880500
01cc_countpadded,roxie,7.784000
