testName,cluster,baseline
01aa_createfixed32-timeactivities(false),thor,3.828600
01aa_createfixed32-timeactivities(true),thor,4.287200
01ab_createunorderedappend,thor,8.994000
01ac_createorderappend,thor,4.595000
01ad_createmanycount,thor,44.471000
01ae_createswitchcount,thor,35.284900
01af_parallelmanycount,thor,5.752700
01ag_unorderedappend2,thor,9.355000
01ah_unorderedappend4,thor,8.951900
01ai_unorderedappend8,thor,8.965600
01aj_unorderedappend12,thor,8.922300
01ak_unorderedappend16,thor,8.928500
01al_unorderedappend32,thor,8.932900
01ba_writefixed32,thor,9.162000
01bb_writefixed32c,thor,26.247200
01bc_writepadded32,thor,144.738100
01bd_writepadded32c,thor,36.496600
01be_writefixedcsv,thor,59.409300
01bf_writefixedxml,thor,157.450400
01bg_writevariable,thor,10.224100
01bh_writelarge,thor,29.790700
01ca_countsimple-checkcrc(false)-hintheapflags(0x00)-timeactivities(false),thor,4.248000
01ca_countsimple-checkcrc(false)-hintheapflags(0x00)-timeactivities(true),thor,4.570600
01ca_countsimple-checkcrc(false)-hintheapflags(0x80)-optremoteread(true)-timeactivities(true),thor,11.824100
01ca_countsimple-checkcrc(false)-hintheapflags(0x80)-timeactivities(false),thor,4.118900
01ca_countsimple-checkcrc(false)-hintheapflags(0x80)-timeactivities(true),thor,4.431700
01ca_countsimple-checkcrc(true)-hintheapflags(0x00)-timeactivities(false),thor,5.094800
01ca_countsimple-checkcrc(true)-hintheapflags(0x00)-timeactivities(true),thor,5.419500
01ca_countsimple-checkcrc(true)-hintheapflags(0x80)-timeactivities(false),thor,57.031900
01ca_countsimple-checkcrc(true)-hintheapflags(0x80)-timeactivities(true),thor,5.294100
01cb_countsimplec,thor,21.011600
01cc_countpadded,thor,156.903200
01cd_countpaddedc,thor,64.545500
01ce_countsimplecsv,thor,87.250900
01cf_countsimplexml,thor,297.536300
01cg_countvariable,thor,11.609800
01ch_countlarge,thor,15.152500
01da_writeswitch,thor,43.189000
01db_deleteswitch,thor,0.000000
01ea_sumsimple,thor,4.861100
01eb_sumsimplec,thor,19.638000
01ec_sumpadded,thor,156.919600
01ed_sumpaddedc,thor,64.288000
01ee_sumsimplecsv,thor,84.965900
01ef_sumsimplexml,thor,297.083400
01fa_buildindexorder,thor,97.437900
01fb_buildindexunorder,thor,97.704800
01fc_buildindexorder1,thor,44.686100
02aa_disksortlocal,thor,47.346900
02ab_disksortglobal,thor,63.393300
02ba_sortlocal-algo('heapsort'),thor,25.614600
02ba_sortlocal-algo('mergesort'),thor,25.620000
02ba_sortlocal-algo('parmergesort'),thor,25.731600
02ba_sortlocal-algo('parquicksort'),thor,25.785400
02ba_sortlocal-algo('quicksort'),thor,25.886200
02ba_sortlocal-algo('taskquicksort'),thor,25.587400
02ba_sortlocal-algo('tbbstableqsort'),thor,25.627300
02bb_sort,thor,39.511400
02bc_groupsort-groupsize(0x100000),thor,18.333000
